ID,Name,Description,System,VisualType,Parent,OOTB_Custom,inScope,Usage#,flowchart TD,Comments,Type,Complexity,NewMod,NoOfUnits,WP,Adjustor
PDPAccessories,PDP Accessories,,Frontend,Page,PLP,OOTB,Y,1,PDPAccessories[PDP Accessories] ; PLP --> PDPAccessories,PDP Accessories,commerce presentation components,medium,modified,1,WP 21,0.75
PDPControllers,PDP Controllers,,Frontend,Page,PLP,OOTB,Y,1,PDPControllers[PDP Controllers] ; PLP --> PDPControllers,PDP Controllers,commerce presentation components,medium,modified,1,WP 21,0.75
PDPRobots,PDP Robots,,Frontend,Page,PLP,OOTB,Y,1,PDPRobots[PDP Robots] ; PLP --> PDPRobots,PDP Robots,commerce presentation components,medium,modified,1,WP 21,0.75
PDPServices,PDP Services,,Frontend,Page,PLP,OOTB,Y,1,PDPServices[PDP Services] ; PLP --> PDPServices,PDP Services,commerce presentation components,medium,modified,1,WP 21,0.75
ProductsCompare,Compare products,Compare products,Frontend,Page,PLP,Custom,N,1,ProductsCompare[Compare products] ; PLP --> ProductsCompare,Functionality covered by Cookbook asset. Effort for styling.,commerce presentation components,simple,modified,1,WP 2,1
ProductsRecentlyViewd,Recently Viewed Products,A box showing recently viewed products,Frontend,Component,Home,OOTB,N,0,ProductsRecentlyViewd(Recently Viewed Products) ; Home --> ProductsRecentlyViewd,,commerce presentation components,Simple,modified,1,WP 2,1
PromotionDetailsAtPDP,Promotion details,Promotion details compnenet shown on PDP page,Frontend,Component,PDP,OOTB,N,1,PromotionDetailsAtPDP(Promotion details) ; PDP --> PromotionDetailsAtPDP,,commerce presentation components,Simple,modified,1,WP 2,1
PDPSoftware,PDP Software,,Frontend,Page,PLP,OOTB,Y,1,PDPSoftware[PDP Software] ; PLP --> PDPSoftware,PDP Software,commerce presentation components,medium,modified,1,WP 21,0.75
QuickOrder,Quick Order form,Quick Order form,Frontend,Page,Home,OOTB,N,1,QuickOrder[Quick Order form] ; Home --> QuickOrder,,commerce presentation components,simple,modified,1,WP 2,1
Refund,Refound,,Frontend,Component,OrderHistoryPage,OOTB,N,1,Refund(Refound) ; OrderHistoryPage --> Refund,,commerce presentation components,Simple,modified,1,WP 2,1
PDPSolutions,PDP Solutions,,Frontend,Page,PLP,OOTB,Y,1,PDPSolutions[PDP Solutions] ; PLP --> PDPSolutions,PDP Solutions,commerce presentation components,medium,modified,1,WP 21,0.75
PDPSpareParts,PDP Spare Parts,,Frontend,Page,PLP,OOTB,Y,1,PDPSpareParts[PDP Spare Parts] ; PLP --> PDPSpareParts,PDP Spare Parts,commerce presentation components,medium,modified,1,WP 21,0.75
WizardSixSteps,Wizard (6 steps),,Frontend,Page,ProductFinder,Custom,Y,1,WizardSixSteps[Wizard (6 steps)] ; ProductFinder --> WizardSixSteps,Wizard (6 steps),commerce presentation components,complex,new,1,WP 22,1
ResidualValue,Resitual Value component,Presentation of vehicle resitual value,Frontend,Component,Checkout,Custom,N,1,ResidualValue(Resitual Value component) ; Checkout --> ResidualValue,,commerce presentation components,medium,new,1,WP 2,1
InstallationGuides,Installation Guides,,Frontend,Page,Resources,Custom,Y,1,InstallationGuides[Installation Guides] ; Resources --> InstallationGuides,Installation Guides,commerce presentation components,simple,new,1,WP 21,1
Return,Return,Return document,Frontend,Component,OrderHistoryPage,OOTB,N,1,Return(Return) ; OrderHistoryPage --> Return,,commerce presentation components,Simple,modified,1,WP 2,1
ProductAndSoftwareDocs,Product and Software Docs,,Frontend,Page,Resources,Custom,Y,1,ProductAndSoftwareDocs[Product and Software Docs] ; Resources --> ProductAndSoftwareDocs,Product and Software Docs,commerce presentation components,simple,new,1,WP 21,1
ProductConfigurationTools,Product Configuration Tools,,Frontend,Page,Resources,Custom,Y,1,ProductConfigurationTools[Product Configuration Tools] ; Resources --> ProductConfigurationTools,Product Configuration Tools,commerce presentation components,simple,new,1,WP 21,1
TroubleshootingManuals,Troubleshooting Manuals,,Frontend,Page,Resources,Custom,Y,1,TroubleshootingManuals[Troubleshooting Manuals] ; Resources --> TroubleshootingManuals,Troubleshooting Manuals,commerce presentation components,simple,new,1,WP 21,1
RFQDetails,RFQ Details page,,Frontend,Page,RFQList,Custom,Y,1,RFQDetails[RFQ Details page] ; RFQList --> RFQDetails,Quote Request Confirmation,commerce presentation components,medium,modified,1,WP 21,1
SearchResults,Search Result Page,Showing list of products returned from search,Frontend,Page,AdvancedSearch,OOTB,N,1,SearchResults[Search Result Page] ; AdvancedSearch --> SearchResults,,commerce presentation components,medium,new,1,WP 21,1
RequestChanges,Request Changes,,Frontend,Page,RolesAndPermissions,Custom,Y,1,RequestChanges[Request Changes] ; RolesAndPermissions --> RequestChanges,Request Changes,commerce presentation components,medium,modified,1,WP 21,1
ProductFilters,Filter Products,Set of filters allowing to narrow product list results,Frontend,Component,SearchResults,OOTB,Y,1,ProductFilters(Filter Products) ; SearchResults --> ProductFilters,,commerce presentation components,medium,modified,1,WP 21,1
ScheduleAService,Schedule a Service,,Frontend,Page,ServiceAgreements,Custom,Y,1,ScheduleAService[Schedule a Service] ; ServiceAgreements --> ScheduleAService,Schedule a Service,commerce presentation components,medium,new,1,WP 22,1
ViewService,View Service,,Frontend,Page,ServiceAgreements,Custom,Y,1,ViewService[View Service] ; ServiceAgreements --> ViewService,View Service,commerce presentation components,medium,new,1,WP 22,1
AdvancedSearch,Advanced Search Page,,Frontend,Page,TopMenu,Custom,Y,1,AdvancedSearch[Advanced Search Page] ; TopMenu --> AdvancedSearch,Header-Search,commerce presentation components,medium,modified,1,WP 21,1
Shopping List Management,Shopping List Management,Shopping List Management,Frontend,Page,TopMenu,OOTB,N,0,Shopping List Management[Shopping List Management] ; TopMenu --> Shopping List Management,,commerce presentation components,medium,modified,1,WP 2,1
CatTree,Category Tree,Category structure presenation,Frontend,Component,TopMenu,OOTB,Y,1,CatTree(Category Tree) ; TopMenu --> CatTree,Categories ,commerce presentation components,medium,modified,1,WP 21,1
PLP,Category Page,Product Listing Page,Frontend,Page,TopMenu,OOTB,Y,2,PLP[Category Page] ; TopMenu --> PLP,List Page,commerce presentation components,medium,modified,1,WP 21,1
StoreLocator,Where to buy,A map with merchant's locations,Frontend,Page,TopMenu,OOTB,N,1,StoreLocator[Where to buy] ; TopMenu --> StoreLocator,,commerce presentation components,medium,new,1,WP 2,1
RFQList,RFQ List page,,Frontend,Page,TopMenu,Custom,Y,1,RFQList[RFQ List page] ; TopMenu --> RFQList,Quote Request Confirmation,commerce presentation components,medium,modified,1,WP 21,1
Cart,Cart Page,Full Cart Page,Frontend,Page,TopMenu,OOTB,Y,4,Cart[Cart Page] ; TopMenu --> Cart,Cart,commerce presentation components,medium,modified,1,WP 22,1
LangSwitcher,Language Switcher,,Frontend,Component,TopMenu,OOTB,Y,1,LangSwitcher(Language Switcher) ; TopMenu --> LangSwitcher,Header-Location choice [popin],commerce presentation components,simple,modified,1,WP 22,1
AddUser,Add User,,Frontend,Page,User Management,OOTB,Y,1,AddUser[Add User] ; User Management --> AddUser,Add User,commerce presentation components,medium,modified,1,WP 21,1
AssetDetails,Asset Details,,Frontend,Component,ViewAsset,Custom,Y,1,AssetDetails(Asset Details) ; ViewAsset --> AssetDetails,Asset Details,commerce presentation components,medium,new,1,WP 22,1
SpareParts,Spare Parts,,Frontend,Component,ViewAsset,Custom,Y,1,SpareParts(Spare Parts) ; ViewAsset --> SpareParts,Spare Parts,commerce presentation components,medium,new,1,WP 22,1
InInstalledBase,In Installed Base,,Frontend,Component,ViewService,Custom,Y,1,InInstalledBase(In Installed Base) ; ViewService --> InInstalledBase,In Installed Base,commerce presentation components,medium,new,1,WP 22,1
ServiceReports,Service Reports,,Frontend,Component,ViewService,Custom,Y,1,ServiceReports(Service Reports) ; ViewService --> ServiceReports,Service Reports,commerce presentation components,medium,new,1,WP 22,1
Finder Result Page,Finder Result Page,,Frontend,Page,WizardSixSteps,Custom,Y,1,Finder Result Page[Finder Result Page] ; WizardSixSteps --> Finder Result Page,Finder Result Page,commerce presentation components,medium,new,1,WP 21,1
WebConfig,WebConfig,WebConfig ABB,Frontend,Page,MyProfile,Custom,N,1,WebConfig[WebConfig] ; MyProfile --> WebConfig,,commerce presentation components,complex,new,1,WP 2,1
Whishlist,Whishlist,Whishlist,Frontend,Page,MyProfile,OOTB,N,1,Whishlist[Whishlist] ; MyProfile --> Whishlist,,commerce presentation components,medium,modified,1,WP 2,1
Home,Home Page,"Homepage restyling including general styling, header, footer, top navigation, main banner, one carousel, up to three content blocks; responsive",Frontend,Page,,OOTB,Y,1,Home[Home Page],Homepage,commerce presentation components,medium,modified,1,WP 22,1
